campaign_id,event_type,count,session_id,conversion_rate
2.16E+18,conversion,6527,5080,128.48%
3.85E+18,conversion,192,165,116.36%
8.72E+18,conversion,8080,7543,107.12%
7.87E+18,conversion,629,636,98.90%
6.52E+18,conversion,1946,2048,95.02%
8.00E+18,conversion,95,104,91.35%
6.12E+18,conversion,842,931,90.44%
8.31E+18,conversion,346,384,90.10%
6.04E+18,conversion,2938,3272,89.79%
5.96E+18,conversion,658,735,89.52%
4.11E+18,conversion,529,597,88.61%
8.64E+18,conversion,2652,3056,86.78%
6.21E+18,conversion,1229,1423,86.37%
8.05E+18,conversion,336,392,85.71%
6.38E+18,conversion,13604,15948,85.30%
4.25E+18,conversion,145,178,81.46%
8.85E+18,conversion,256,318,80.50%
8.65E+18,conversion,164,207,79.23%
2.55E+18,conversion,1373,1793,76.58%
8.46E+18,conversion,355,468,75.85%
5.04E+18,conversion,3731,5054,73.82%
8.62E+18,conversion,32569,44673,72.91%
8.04E+18,conversion,4624,6492,71.23%
3.99E+18,conversion,714,1016,70.28%
2.62E+18,conversion,336,480,70.00%
5.17E+18,conversion,108,158,68.35%
5.66E+18,conversion,76,115,66.09%
6.28E+18,conversion,1683,2570,65.49%
5.97E+18,conversion,676,1061,63.71%
6.58E+18,conversion,5671,9034,62.77%
2.47E+18,conversion,34,55,61.82%
5.95E+18,conversion,240,402,59.70%
2.34E+18,conversion,3869,6643,58.24%
2.63E+18,conversion,42,84,50.00%
4.74E+18,conversion,24,55,43.64%
5.37E+18,conversion,64,147,43.54%
8.73E+18,conversion,56,131,42.75%
8.76E+18,conversion,696,1644,42.34%
6.31E+18,conversion,36,112,32.14%
2.51E+18,conversion,33,105,31.43%
6.94E+18,conversion,74,276,26.81%
6.90E+18,conversion,21,81,25.93%
9.07E+18,conversion,62,246,25.20%
5.96E+18,conversion,34,171,19.88%
8.81E+18,conversion,14,78,17.95%
5.64E+18,conversion,15,84,17.86%
7.30E+18,conversion,17,99,17.17%
1.20E+18,conversion,12,76,15.79%
6.56E+18,conversion,12,87,13.79%
4.25E+18,conversion,13,132,9.85%
4.17E+18,conversion,6,69,8.70%
8.12E+18,conversion,5,74,6.76%
4.93E+18,conversion,22,529,4.16%
6.04E+18,conversion,3,83,3.61%
3.69E+18,conversion,1,59,1.69%
